id,name,city,country,continent,region,lon,lat,rank
SKP,Skopje Alexander the Great,Skopje,Republic of North Macedonia,Europe,Southern Europe,21.621389,41.961667,250
ATQ,Sri Guru Ram Dass Jee International,Amritsar,India,Asia,Southern Asia,74.797222,31.709722,252
LPA,Gran Canaria,Las Palmas,Spain,Europe,Southern Europe,-15.386667,27.931944,253
PMO,Falcone–Borsellino,Palermo,Italy,Europe,Southern Europe,13.099444,38.181944,256
ALG,Houari Boumediene,Algiers,Algeria,Africa,Northern Africa,3.214722,36.694167,259
GVA,Geneva,Geneva,Switzerland,Europe,Central Europe,6.108889,46.238056,260
SJJ,Sarajevo International,Sarajevo,Bosnia & Herzegovina,Europe,Southern Europe,18.331389,43.824722,263
TNG,Tangier Ibn Battouta,Tangier,Morocco,Africa,Northern Africa,-5.916944,35.726944,265
SHJ,Sharjah International,Dubai,United Arab Emirates,Asia,Western Asia,55.517222,25.328611,269
BHX,Birmingham,Birmingham,United Kingdom,Europe,Northern Europe,-1.747778,52.453611,270
HHN,Frankfurt–Hahn,Frankfurt,Germany,Europe,Central Europe,7.263889,49.948611,271
SKG,Thessaloniki International Airport Macedonia,Thessaloniki,Greece,Europe,Southern Europe,22.970833,40.519722,272
FLR,Florence,Florence,Italy,Europe,Southern Europe,11.202778,43.808611,274
EBB,Entebbe International,Entebbe,Uganda,Africa,Eastern Africa,32.443611,0.0425,275
BLQ,Bologna Guglielmo Marconi,Bologna,Italy,Europe,Southern Europe,11.296944,44.530833,279
CGN,Cologne Bonn Airport,Cologne,Germany,Europe,Central Europe,7.142778,50.865833,284
TLL,Tallinn,Tallinn,Estonia,Europe,Northern Europe,24.8325,59.413333,298
ECN,Ercan International,Northern Cyprus,Unknown Region,Asia,Western Asia,33.488333,35.159722,299
GDN,Gdańsk Lech Wałęsa,Gdańsk,Poland,Europe,Central Europe,18.466111,54.3775,302
MRS,Marseille Provence,Marseille,France,Europe,Western Europe,5.215,43.436667,303
TGD,Podgorica,Podgorica,Montenegro,Europe,Southern Europe,19.251944,42.359444,304
SPU,Split,Split,Croatia,Europe,Southern Europe,16.298056,43.538889,306
ESB,Esenboğa International,Ankara,Turkey,Asia,Western Asia,32.995,40.128056,312
FAO,Faro,Faro,Portugal,Europe,Southern Europe,-7.965833,37.014444,315
ALA,Almaty International,Almaty,Kazakhstan,Asia,Central Asia,77.042222,43.353333,319
KUT,David the Builder Kutaisi International,Kutaisi,Georgia,Asia,Western Asia,42.4825,42.176667,322
BIO,Bilbao,Bilbao,Spain,Europe,Southern Europe,-2.910556,43.301111,329
STR,Stuttgart,Stuttgart,Germany,Europe,Central Europe,9.221944,48.69,331
DBV,Dubrovnik,Dubrovnik,Croatia,Europe,Southern Europe,18.268333,42.561389,336
LKO,Chaudhary Charan Singh International,Lucknow,India,Asia,Southern Asia,80.889444,26.760556,338
HER,Heraklion International,Heraklion,Greece,Europe,Southern Europe,25.180278,35.339722,341
CFU,Corfu International,Corfu,Greece,Europe,Southern Europe,19.911667,39.601944,347
EIN,Eindhoven,Eindhoven,Netherlands,Europe,Western Europe,5.374444,51.45,348
CIA,Ciampino–G. B. Pastine International,Rome,Italy,Europe,Southern Europe,12.595,41.798889,350
RBA,Rabat–Salé,Rabat,Morocco,Africa,Northern Africa,-6.751389,34.051389,351
BRI,Bari Karol Wojtyła,Bari,Italy,Europe,Southern Europe,16.765,41.138056,357
LYS,Lyon–Saint-Exupéry,Lyon,France,Europe,Western Europe,5.081111,45.725556,358
BSZ,Manas International Airport,Bishkek,Kyrgyzstan,Asia,Central Asia,74.4775,43.061389,359
AGA,Agadir–Al Massira,Agadir,Morocco,Africa,Northern Africa,-9.413056,30.325,365
TFN,Tenerife-North,Tenerife,Spain,Europe,Southern Europe,-16.341667,28.482778,367
FNC,Cristiano Ronaldo International,Funchal,Portugal,Europe,Southern Europe,-16.778056,32.694167,369
GOT,Göteborg Landvetter,Gothenburg,Sweden,Europe,Northern Europe,12.279722,57.662778,377
DSS,Blaise Diagne International Airport,Dakar,Senegal,Africa,Western Africa,-17.066944,14.671111,379
LIN,Linate,Milan,Italy,Europe,Southern Europe,9.278333,45.449444,380
WMI,Warsaw Modlin,Warsaw,Poland,Europe,Central Europe,20.651667,52.451111,387
BSL,EuroAirport Basel Mulhouse Freiburg,Basel,Switzerland,Europe,Central Europe,7.521667,47.601111,390
JMK,Mykonos Island National,Mykonos,Greece,Europe,Southern Europe,25.348056,37.435,394
CLJ,Cluj International,Cluj-Napoca,Romania,Europe,Eastern Europe,23.686111,46.785278,400
XNB,Dubai Bus Station,Dubai,United Arab Emirates,Asia,Western Asia,55.333333,25.25,401
ALP,Aleppo International Airport,Aleppo,Syria,Asia,Southern Asia,37.2244,36.180698,404
PFO,Paphos International,Paphos,Cyprus,Europe,Southern Europe,32.485833,34.718056,405
LUX,Luxembourg,Luxembourg,Luxembourg,Europe,Western Europe,6.204444,49.623333,406
PSA,Pisa International,Pisa,Italy,Europe,Southern Europe,10.395556,43.682778,409
AHB,Abha Regional,Abha,Saudi Arabia,Asia,Western Asia,42.656667,18.240278,414
TSF,Treviso,Venice,Italy,Europe,Southern Europe,12.197778,45.650833,416
CHQ,Chania International,Chania,Greece,Europe,Southern Europe,24.149722,35.531667,417
TRF,"Sandefjord Airport, Torp",Oslo,Norway,Europe,Northern Europe,10.258611,59.186667,420
SCQ,Santiago de Compostela,Santiago de Compostela,Spain,Europe,Southern Europe,-8.415278,42.896389,423
SPX,Sphinx International Airport,Giza,Egypt,Africa,Northern Africa,30.894444,30.109722,426
BJV,Milas–Bodrum,Bodrum,Turkey,Asia,Western Asia,27.664444,37.250556,427
TOS,"Tromsø Airport, Langnes",Tromsø,Norway,Europe,Northern Europe,18.918889,69.683333,428
NQZ,Nursultan Nazarbayev International Airport,Astana,Kazakhstan,Asia,Central Asia,71.466944,51.023056,429
NUE,Nuremberg,Nuremberg,Germany,Europe,Central Europe,11.066944,49.498611,430
BJL,Banjul International,Banjul,Gambia,Africa,Western Africa,-16.652222,13.338056,433
TLS,Toulouse–Blagnac,Toulouse,France,Europe,Western Europe,1.367778,43.635,435
FEZ,Fès–Saïs,Fes,Morocco,Africa,Northern Africa,-4.978056,33.927222,436
LJU,Ljubljana Jože Pučnik,Ljubljana,Slovenia,Europe,Southern Europe,14.4575,46.223611,441
BRS,Bristol,Bristol,United Kingdom,Europe,Northern Europe,-2.718889,51.3825,443
WRO,Copernicus Airport Wrocław,Wrocław,Poland,Europe,Central Europe,16.885833,51.102778,444
DLA,Douala International,Douala,Cameroon,Africa,Central Africa,9.719444,4.006111,446
CAG,Cagliari Elmas,Cagliari,Italy,Europe,Southern Europe,9.057778,39.251389,447
DTM,Dortmund,Dortmund,Germany,Europe,Central Europe,7.612222,51.518333,452
IAS,Iași International,Iași,Romania,Europe,Eastern Europe,27.620556,47.178611,453
ASR,Erkilet International,Kayseri,Turkey,Asia,Western Asia,35.495556,38.770278,454
TIV,Tivat,Tivat,Montenegro,Europe,Southern Europe,18.723333,42.404722,457
TUU,Tabuk Regional,Tabuk,Saudi Arabia,Asia,Western Asia,36.618889,28.365556,461
SKT,Sialkot International,Sialkot,Pakistan,Asia,Southern Asia,74.363889,32.535278,462
DYU,Dushanbe International,Dushanbe,Tajikistan,Asia,Central Asia,68.825,38.543333,463
PEW,Bacha Khan International,Peshawar,Pakistan,Asia,Southern Asia,71.514444,33.993889,464
FUE,Fuerteventura,Fuerteventura,Spain,Europe,Southern Europe,-13.863889,28.452778,465
BGO,"Bergen Airport, Flesland",Bergen,Norway,Europe,Northern Europe,5.218056,60.293333,466
ABJ,Port Bouet,Abidjan,Côte d’Ivoire,Africa,Western Africa,-3.926389,5.261389,467
GLA,Glasgow,Glasgow,United Kingdom,Europe,Northern Europe,-4.433333,55.871944,468
PNQ,Pune,Pune,India,Asia,Southern Asia,73.919722,18.582222,473
LXR,Luxor International,Luxor,Egypt,Africa,Northern Africa,32.706667,25.671111,475
KTW,Katowice International,Katowice,Poland,Europe,Central Europe,19.08,50.474167,476
JAI,Jaipur International,Jaipur,India,Asia,Southern Asia,75.812222,26.824167,478
RHO,Rhodes International,Rhodes,Greece,Europe,Southern Europe,28.086111,36.405556,480
BDQ,Vadodara,Vadodara,India,Asia,Southern Asia,73.226389,22.336111,482
BBU,Baneasa International Airport,Bucharest,Romania,Europe,Eastern Europe,26.1021,44.503201,485
FMM,Memmingen,Memmingen,Germany,Europe,Central Europe,10.2375,47.988056,489
HBE,Borg El Arab,Alexandria,Egypt,Africa,Northern Africa,29.696389,30.917778,491
COV,Cukurova International Airport,Mersin,Turkey,Asia,Western Asia,35.0675,36.896944,493
ACE,Lanzarote,Lanzarote,Spain,Europe,Southern Europe,-13.605278,28.945556,494
KGL,Kigali International,Kigali,Rwanda,Africa,Eastern Africa,30.139444,-1.968611,495
BTS,Bratislava Airport,Bratislava,Slovakia,Europe,Central Europe,17.212778,48.170278,497
DLM,Dalaman,Dalaman,Turkey,Asia,Western Asia,28.7925,36.713056,499
BOD,Bordeaux–Mérignac,Bordeaux,France,Europe,Western Europe,-0.715278,44.828611,501
TSR,Timișoara Traian Vuia International,Timișoara,Romania,Europe,Eastern Europe,21.337778,45.81,503
VAR,Varna,Varna,Bulgaria,Europe,Eastern Europe,27.825,43.231944,504
POZ,Poznań–Ławica,Poznań,Poland,Europe,Central Europe,16.826389,52.421111,505
PHC,Port Harcourt International,Port Harcourt,Nigeria,Africa,Western Africa,6.949722,5.015556,509
TRN,Turin,Turin,Italy,Europe,Southern Europe,7.649444,45.2025,511
LYP,Faisalabad International,Faisalabad District,Pakistan,Asia,Southern Asia,72.994722,31.365,514
MUX,Multan International,Multan,Pakistan,Asia,Southern Asia,71.419167,30.203333,515
OLB,Olbia Costa Smeralda,Olbia,Italy,Europe,Southern Europe,9.517778,40.898611,518
NTE,Nantes Atlantique,Nantes,France,Europe,Western Europe,-1.607778,47.156944,519
PZU,Port Sudan New International,Port,Sudan,Africa,Northern Africa,37.234167,19.433611,521
IKA,Tehran Imam Khomeini International,Tehran,Iran,Asia,Southern Asia,51.152222,35.416111,527
YYT,St. John's International,St. John s,Canada,North America,Northern America,-52.751944,47.618611,534
TZX,Trabzon,Trabzon,Turkey,Asia,Western Asia,39.789722,40.995,536
ENU,Akanu Ibiam International,Enugu,Nigeria,Africa,Western Africa,7.561944,6.474167,544
IDR,Devi Ahilya Bai Holkar,Indore,India,Asia,Southern Asia,75.801111,22.721667,547
KUN,Kaunas,Kaunas,Lithuania,Europe,Northern Europe,24.084722,54.963889,555
NRN,Weeze,Düsseldorf,Germany,Europe,Central Europe,6.142222,51.6025,556
ASM,Asmara International,Asmara,Eritrea,Africa,Eastern Africa,38.910556,15.291944,557
ROB,Roberts International,Monrovia,Liberia,Africa,Western Africa,-10.362222,6.233889,560
ORN,Oran Es Sénia,Oran,Algeria,Africa,Northern Africa,-0.621111,35.623889,565
FNA,Lungi International,Freetown,Sierra Leone,Africa,Western Africa,-13.195556,8.616389,570
HAJ,Hannover,Hanover,Germany,Europe,Central Europe,9.689444,52.460556,575
RVN,Rovaniemi,Rovaniemi,Finland,Europe,Northern Europe,25.830278,66.564722,578
NCL,Newcastle,Newcastle upon Tyne,United Kingdom,Europe,Northern Europe,-1.691667,55.0375,580
NAV,Nevşehir Kapadokya,Nevşehir,Turkey,Asia,Western Asia,34.534444,38.771944,582
FIH,N djili,Kinshasa,Democratic Republic of the Congo,Africa,Central Africa,15.444444,-4.385833,583
RZE,Rzeszów–Jasionka,Rzeszów,Poland,Europe,Central Europe,22.018889,50.11,587
SXB,Strasbourg,Strasbourg,France,Europe,Western Europe,7.634444,48.541944,588
PDL,João Paulo II,Ponta Delgada,Portugal,Europe,Southern Europe,-25.697778,37.741111,589
VRN,Verona Villafranca,Verona,Italy,Europe,Southern Europe,10.888056,45.396389,593
DWC,Al Maktoum International,Dubai,United Arab Emirates,Asia,Western Asia,55.16,24.896111,597
SLL,Salalah,Salalah,Oman,Asia,Western Asia,54.091389,17.038611,605
ELQ,Prince Nayef bin Abdulaziz Regional,Al-Qassim Region,Saudi Arabia,Asia,Western Asia,43.773889,26.302778,609
BLL,Billund,Billund,Denmark,Europe,Northern Europe,9.151667,55.740278,611
GIZ,Jazan,Jizan,Saudi Arabia,Asia,Western Asia,42.585833,16.901111,612
ABB,Asaba International,Asaba,Nigeria,Africa,Western Africa,6.667222,6.203056,613
ZTH,Zakynthos International,Zakynthos Island,Greece,Europe,Southern Europe,20.884167,37.750833,614
GRX,Federico García Lorca,Granada,Spain,Europe,Southern Europe,-3.777222,37.188611,615
BRE,Bremen,Bremen,Germany,Europe,Central Europe,8.786667,53.0475,616
MAH,Menorca,Menorca,Spain,Europe,Southern Europe,4.218611,39.8625,617
IXC,Chandigarh International,Chandigarh,India,Asia,Southern Asia,76.788611,30.673333,622
GOA,Genoa Cristoforo Colombo,Genoa,Italy,Europe,Southern Europe,8.8375,44.413333,625
GZT,Oğuzeli,Gaziantep,Turkey,Asia,Western Asia,37.478611,36.947222,627
ASW,Aswan International,Aswan,Egypt,Africa,Northern Africa,32.82,23.964444,630
LBA,Leeds Bradford,Leeds,United Kingdom,Europe,Northern Europe,-1.660556,53.865833,635
LPL,Liverpool John Lennon,Liverpool,United Kingdom,Europe,Northern Europe,-2.849722,53.333611,636
LDE,Tarbes–Lourdes–Pyrénées,Lourdes,France,Europe,Western Europe,-0.002778,43.185556,639
BUS,Batumi International,Batumi,Georgia,Asia,Western Asia,41.599722,41.610278,642
NDJ,N Djamena International,N Djamena,Chad,Africa,Central Africa,15.033889,12.133611,643
ORK,Cork,Cork,Ireland,Europe,Northern Europe,-8.491111,51.841389,646
BKO,Bamako–Sénou International,Bamako,Mali,Africa,Western Africa,-7.95,12.533611,648
CKY,Conakry International,Conakry,Guinea,Africa,Western Africa,-13.611944,9.576944,649
RAI,Nelson Mandela International,Praia,Cape Verde,Africa,Western Africa,-23.484722,14.941389,650
SNN,Shannon,"Shannon, County Clare",Ireland,Europe,Northern Europe,-8.924722,52.701944,651
WIL,Wilson,Nairobi,Kenya,Africa,Eastern Africa,36.814722,-1.321667,655
SVG,"Stavanger Airport, Sola",Stavanger,Norway,Europe,Northern Europe,5.637778,58.876667,661
BFS,Belfast International,Belfast,United Kingdom,Europe,Northern Europe,-6.215833,54.6575,662
SCV,Suceava International,Suceava,Romania,Europe,Eastern Europe,26.354167,47.6875,663
